testcase_id,status,notes
RMLTC0000-JSON,passed,
RMLTC0001a-JSON,passed,
RMLTC0001b-JSON,passed,
RMLTC0002a-JSON,passed,
RMLTC0002b-JSON,passed,
RMLTC0002e-JSON,passed,
RMLTC0002g-JSON,failed,typhon-rml expects the input file to exist and waits until it is available
RMLTC0003c-JSON,passed,
RMLTC0004a-JSON,passed,
RMLTC0004b-JSON,passed,
RMLTC0005a-JSON,passed,
RMLTC0006a-JSON,passed,
RMLTC0007a-JSON,passed,
RMLTC0007b-JSON,passed,
RMLTC0007c-JSON,passed,
RMLTC0007d-JSON,passed,
RMLTC0007e-JSON,passed,
RMLTC0007f-JSON,passed,
RMLTC0007g-JSON,passed,
RMLTC0007h-JSON,passed,
RMLTC0008a-JSON,passed,
RMLTC0008b-JSON,passed,
RMLTC0008c-JSON,passed,
RMLTC0009a-JSON,passed,
RMLTC0009b-JSON,passed,
RMLTC0010a-JSON,passed,
RMLTC0010b-JSON,passed,
RMLTC0010c-JSON,passed,
RMLTC0011b-JSON,passed,
RMLTC0012a-JSON,passed,
RMLTC0012b-JSON,passed,
RMLTC0012c-JSON,passed,
RMLTC0012d-JSON,passed,
RMLTC0012e-JSON,failed,RML mapping rules are considered as not valid as typhon-rml still uses an old version of RML shacl shapes.
RMLTC0013a-JSON,passed,
RMLTC0015a-JSON,passed,
RMLTC0015b-JSON,passed,
RMLTC0019a-JSON,passed,
RMLTC0019b-JSON,failed,Unhandled input with whitespace
RMLTC0020a-JSON,passed,
RMLTC0021a-JSON,passed,
RMLTC0022a-JSON,passed,
RMLTC0022b-JSON,passed,
RMLTC0022c-JSON,passed,
RMLTC0022d-JSON,passed,
RMLTC0022e-JSON,passed,
RMLTC0023a-JSON,passed,
RMLTC0023b-JSON,failed,JsonPath property N\ame not handled
RMLTC0023c-JSON,passed,
RMLTC0023d-JSON,passed,
RMLTC0023e-JSON,passed,
RMLTC0023f-JSON,failed,Backslash escape not handled in JsonPath
RMLTC0024a-JSON,failed,"We do not strictly validate rml:termType, constant value is used as identifier for the blank node"
RMLTC0025a-JSON,passed,
RMLTC0025b-JSON,failed,Array values treated as strings by typhon-rml
RMLTC0025c-JSON,passed,
RMLTC0026a-JSON,passed,
RMLTC0026b-JSON,passed,
RMLTC0026c-JSON,passed,
RMLTC0026d-JSON,passed,
